personId:ID,name,aliases:string[],roles:string[],offices:string[],evidence:string[],:LABEL
P000011,裴寂,,大臣|宰相|谋士|重臣,司空|宰相|尚书右仆射|晋阳宫副监|长史,裴寂為尚書右僕射、知政事|宰相十六人：秦王、裴寂、劉文靜、蕭瑀...|裴寂為長史|案裴寂傳。貞觀二年。太宗祠南郊。命寂與長孫無忌同升金輅。|所善客裴寂為副監，世民陰與寂謀,Person
P000012,文宗,元聖昭獻孝皇帝|唐文宗|文宗元聖昭獻孝皇帝|昂|李昂|江王|涵,江王|皇子|皇帝,江王,長慶元年，封爲江王。名涵。|文宗恭儉儒雅|開成三年二月，文宗以旱出宮人劉好奴等五百餘人|文宗元聖昭獻孝皇帝諱昂，穆宗第二子也。始封江王。|至於文宗，不能明弘志等罪惡,Person
P000013,宣宗,元聖至明成武獻文睿智章仁神聰懿道大孝皇帝|光王|光王怡|忱|怡|李忱|皇太叔|聖武獻文孝皇帝,光王|宗室|憲宗第十三子|父|父親|皇太叔|皇子|皇帝|繼任者,皇太叔,憲宗第十三子|宣宗|宣宗第二子|長慶元年三月，封光王。名怡。|三月甲子，即皇帝位于柩前。,Person
P000014,僖宗,儇|儼|唐僖宗|惠聖恭定孝皇帝|普王|李儇,普王|皇太子|皇子|皇帝,,僖宗惠聖恭定孝皇帝諱儇，懿宗第五子也。|咸通十四年癸巳七月，立爲皇太子，改名儇。是月，懿宗崩，卽位。|辛巳，即皇帝位于柩前。|左右神策護軍中尉劉行深、韓文約立普王為皇太子。|初封普王。名儼。,Person
P000015,哀帝,哀皇帝|昭宣光烈孝皇帝|李柷|柷|濟陰王|祚|祝|輝王,在位君主|皇太子|皇帝|諸道兵馬元帥|輝王,輝王,哀帝亦不能制之也|新唐書-{卷}-十 本紀第十 昭宗 哀帝|朱全忠已弒昭宗，矯詔立為皇太子，監軍國事。|甲子，皇帝遜于位，徙于曹州，號濟陰王。|天復三年癸亥二月，拜開府儀同三司，充諸道兵馬元帥。,Person
P000016,崔鄲,,使相|宰相|撰文者,中書侍郎平章事,哀册文，{{*|中書侍郎平章事崔鄲撰。}}|使相五人：烏重胤、史憲誠、王智興、李載義、劉從諫。|宰相二十四人：杜元穎、王播、李逢吉、牛僧孺、竇易直、裴度、韋處厚、楊嗣復、李珏、路隨、李宗閔、段文昌、宋申錫、李德裕、李固言、鄭覃、王涯、李訓、賈餗、舒元輿、李石、陳夷行、崔珙、崔鄲。,Person
P000017,李珏,,官员|宰相|撰文者,中書侍郎平章事|宰相,宰相二十四人：...李珏...|諡册文，{{*|中書侍郎平章事李珏撰。}}|宰相李珏曰,Person
P000018,楊敬之,,撰文者,太常少卿,諡議。{{*|太常少卿楊敬之撰。}},Person
P000019,蔣伸,,宰相|撰文者,中書侍郎,哀册文，{{*|中書侍郎蔣伸撰。}}|宰相二十三人：...蔣伸...,Person
P000020,夏侯孜,,宰相|撰文者,門下侍郎平章事,宰相二十三人：...夏侯孜...|諡册文，{{*|門下侍郎平章事夏侯孜撰。}},Person
P000021,鄭穎,,撰文者,兵部侍郎,諡議。{{*|兵部侍郎鄭穎撰。}},Person
P000022,陳商,,撰文者,禮部侍郎,諡議。{{*|禮部侍郎陳商撰。}},Person
P000023,崔彥昭,,宰相|撰文者,中書侍郎平章事,哀册文，{{*|中書侍郎平章事崔彥昭撰。}}|宰相二十一人：...崔彥昭...,Person
P000024,王鐸,,使相|宰相|撰文者,門下侍郎平章事,宰相二十一人：...王鐸...|使相十人：...王鐸...|諡册文，{{*|門下侍郎平章事王鐸撰。}},Person
P000025,崔沆,,宰相|撰文者,禮部侍郎,宰相二十一人：...崔沆...|諡議。{{*|禮部侍郎崔沆撰。}},Person
P000026,孔緯,,奏议官员|宰相|撰文者,中書侍郎平章事,哀册文，{{*|中書侍郎平章事孔緯撰。}}|宰相二十三人：...孔緯...|舊唐書孔緯傳。十一月。昭宗謁郊廟。...緯奏曰。中貴不衣朝服助祭。國典也。,Person
P000027,韋昭度,,使相|宰相|撰文者,門下侍郎平章事,宰相二十三人：...韋昭度...|使相六十人：...韋昭度...|諡册文，{{*|門下侍郎平章事韋昭度撰。}},Person
P000028,柳玭,,撰文者,右丞權知禮部侍郎,諡議。{{*|右丞權知禮部侍郎柳玭撰。}},Person
P000029,柳璨,,宰相|撰文者,中書侍郎平章事|司空,癸卯，柳璨為司空。|哀册文，{{*|中書侍郎平章事柳璨撰。}}|癸丑，貶柳璨為登州刺史。|甲寅，殺璨及太常卿張廷範。|宰相二十五人：...柳璨...,Person
P000030,裴樞,,宰相|撰文者,右僕射平章事,諡册文，{{*|右僕射平章事裴樞撰。}}|戊子，朱全忠殺裴樞及靜海軍節度使獨孤損...|宰相二十五人：...裴樞...|三月甲子，裴樞罷。,Person
P000031,蔣玄暉,,弒君者,,蔣玄暉矯遺詔|十二月乙未，全忠為天下兵馬元帥，殺蔣玄暉及豐德庫使應頊、尚食使朱建武。|梁王密令蔣玄暉等弒于東都椒殿。,Person
P000032,氏叔琮,,前刺史,,甲午，全忠殺朱友恭、氏叔琮。|遇害前刺史氏叔琮之第。,Person
P000033,杜元穎,杜元颖,使臣|宰相,户部侍郎平章事|摄中书令,户部侍郎平章事杜元颖充五礼使|攝中書令杜元穎跪讀册文訖|宰相二十四人：杜元穎、...,Person
P000034,李德裕,,宰相|臣子,司徒|司空|同中書門下平章事|太子少保|太尉|宰相（同中書門下平章事）|淮南節度副大使|潮州司馬|門下侍郎,丙子，李德裕罷。|武宗用一李德裕|宰相二十四人：...李德裕...|淮南節度副大使李德裕為門下侍郎、同中書門下平章事。|戊申，李德裕為太尉。,Person
P000035,劉從諫,,使相,,使相五人：...劉從諫。|使相四人：劉從諫、...,Person
P000036,王元逵,,使相,,使相十一人：...王元逵...|使相四人：...王元逵...,Person
P000037,朱全忠,全忠,使相|節度使|軍閥,中書令|天下兵馬元帥|宣武軍節度使|梁王|相國|諸道兵馬元帥|魏王,朱全忠已弒昭宗，矯詔立為皇太子，監軍國事。|使相三十九人：...朱全忠...|癸巳，朱全忠來朝。|辛巳，朱全忠為相國，總百揆，封魏王。|辛未，封全忠為梁王。,Person
P000038,顏眞卿,,上言者,吏部尚書|禮儀使,禮儀使、吏部尚書顏眞卿上言,Person
P000039,袁傪,,反对者,兵部侍郎,兵部侍郎袁傪，官以兵達，不詳典故，乃上言,Person
P000040,王涯,,上表者,宰臣,宰臣王涯等四人上表請册徽號,Person
P000041,鄭覃,,官员|请求者,宰相,宰相鄭覃、李固言、李石等以請|宰相鄭覃曰,Person
P000042,李固言,,请求者,宰相,宰相鄭覃、李固言、李石等以請,Person
P000043,李石,,请求者,宰相,宰相鄭覃、李固言、李石等以請,Person
P000044,白敏中,,对答者,兵部侍郎|司空|同中書門下平章事|宰臣|翰林學士承旨,五年三月，白敏中為司空，招討南山、平夏党項行營兵馬都統。|十月，沙州人張義潮以瓜、沙、伊、肅、鄯、甘、河、西、蘭、岷、廓十一州歸于有司。白敏中罷。|宰臣白敏中等對曰|翰林學士承旨、兵部侍郎白敏中同中書門下平章事。,Person
P000045,蘇楷,,议谥者,起居郎,起居郎蘇楷議昭宗諡號曰|楷，禮部尚書循之子,Person
P000046,張廷範,,改谥执行者,太常卿,甲寅，殺璨及太常卿張廷範。|太常卿張廷範改諡曰恭靈莊閔孝皇帝,Person
P000047,循,,父,禮部尚書,楷，禮部尚書循之子,Person
P000048,羅扆,,代笔者,起居郎,楷目不知書，其文羅扆所作,Person
P000049,盧鼎,,联署者,起居舍人,與起居郎羅扆、起居舍人盧鼎連署議,Person
P000050,陸扆,,复试官,吏部尚書|翰林學士,戊子，朱全忠殺裴樞及...吏部尚書陸扆...|昭宗命翰林學士陸扆、秘書監馮渥復試,Person
P000051,馮渥,,复试官,秘書監,昭宗命翰林學士陸扆、秘書監馮渥復試,Person
P000052,襄宗,恭靈莊閔孝皇帝,改谥后庙号,,改諡曰恭靈莊閔孝皇帝，廟號襄宗,Person
P000053,潭,嗣直|奉天皇帝|建康郡王|慶王潭|潁王潭|琮|經|許昌王|郯王,宗室|慶王|潁王|玄宗長子|皇子|郯王,太子太師|安東都護|平盧軍節度大使|河西諸軍節度大使|涼州都督|郯王,郯王嗣直改名潭，徙封慶王|玄宗長子。本名嗣直。封郯王，改名潭，又名琮。天寶十載薨，諡靖德皇太子。肅宗元年，追册爲奉天皇帝，葬齊陵。|皇帝子許昌王嗣直改封郯王|慶王潭為太子太師|以慶王潭為涼州都督兼河西諸軍節度大使,Person
P000054,倓,承天皇帝,肅宗第三子,建寧郡王|齊王,承天皇帝倓。|承天皇帝倓旣爲張良娣所搆，肅宗怒而幽死|肅宗第三子。本封建寧郡王，薨。寶應初，贈封齊王。大曆三年，追封承天皇帝，葬順陵。,Person
P000055,許敬宗,许敬宗|高陽郡公,大臣|太子賓客|官员|礼官|禮官|议礼者,同東西臺三品|太子少師|少師高陽郡公|特進|礼部尚书|禮部尚書,少師高陽郡公許敬宗……爲檢校封禪使|許敬宗又言於朝曰︰「田舍翁積得十斛麥……」|壬辰，太子少師、同東西臺三品許敬宗致仕。|八月壬子，特進、高陽郡公許敬宗卒。|禮部尚書許敬宗等。又奏稱于新禮祭畢。,Person
P000056,顏回,,历史人物|被追贈對象,太子太师（追赠）|太子少師（追赠）,贈顏回太子少師|請贈顏回太子少師|追贈顏回為太子太師,Person
P000057,曾參,,历史人物|被追贈對象,太子太保（追赠）|太子少保（追赠）,曾參太子少保|曾參為太子太保,Person
P000058,義陽公主,,公主,,時義陽、宣城二公主，以母得罪，幽于掖庭,Person
P000059,宣城公主,,公主|皇室成员,,宣城、贞宁、临贞、贞源、义昌等公主并宗室近亲，合先慰问|時義陽、宣城二公主，以母得罪，幽于掖庭,Person
P000060,張良娣,,良娣,,承天皇帝倓旣爲張良娣所搆,Person
P000061,李泌,,判官,,遣判官李泌入朝獻捷|賴李泌保護，乃免。,Person
P000062,範,岐王|岐王範|惠文太子|范,受封者|太子|岐王|平定参与者|皇子,太子太傅|太子少師|太常卿|岐州刺史|岐王|華州刺史|虢州刺史,惠文太子范。{{*|睿宗第四子。}}|岐王範、薛王業各加實封七百戶|太常卿、岐王範為華州刺史|岐王範|夏四月，岐王範兼虢州刺史，薛王業兼幽州刺史。,Person
P000063,成義,恆王成義|惠莊太子|捴|撝|申王|衡陽王|衡陽郡王,太子|宗室|恆王|申王|皇子|衡陽郡王,司徒|恆王|衡陽郡王,司徒、申王捴薨，追謚曰惠莊太子|封皇子成義為恆王|丁卯，降封皇孫成器為壽春郡王，恆王成義衡陽郡王，楚王隆基臨淄郡王，衞王隆範巴陵郡王，趙王隆業彭城郡王。|恆王成義為衡陽郡王|恆王成義為衡陽王,Person
P000064,張氏,宣獻皇后,皇后,,宣皇帝皇后張氏。諡宣獻。,Person
P000065,光懿皇后,賈氏,皇后,,光皇帝皇后賈氏。諡光懿。,Person
P000066,景烈皇后,梁氏,皇后,,景皇帝皇后梁氏。諡景烈。,Person
P000067,文德皇后,文德聖皇后|文德順聖皇后|長孫氏|長孫皇后,亲蚕主持者|母親|皇后,文德聖皇后|皇后,丙子，立妃長孫氏為皇后|九年三月。文德皇后率內外命婦。有事于先蠶。同上。|長孫皇后遣使賫錢四十萬、絹五百疋|太宗皇后長孫氏。武德九年八月二十一日，立爲皇后。|追尊宣簡公為宣皇帝，懿王為光皇帝，太祖武皇帝為高祖神堯皇帝，太宗文皇帝為文武聖皇帝，太穆皇后為太穆神皇后，文德皇后為文德聖皇后。,Person
P000068,柳氏,,母,,俄誣王皇后與母柳氏求厭勝之術,Person
P000069,長孫無忌,长孙无忌,修礼官|大臣|臣|議禮主持者,太尉|顧命大臣,上從容言王氏無子，以風長孫無忌，無忌竟不順旨。|太尉長孫無忌等。與禮官議。|癸丑，追復長孫無忌官爵，仍以其曾孫翼襲封趙國公，許歸葬於昭陵先造之墳。|長孫無忌進曰︰「陛下發天威之怒……」|戊辰，流長孫无忌于黔州。,Person
P000070,李義府,,大臣|李湛之父,中書舍人,永徽五年，中書舍人李義府上表請廢王皇后，立昭儀|李湛，義府之子也,Person
P000071,李勣,故司空|李𪟝|英國公李勣,大臣|將領,司空|司空英國公|尚書左僕射|開府儀同三司,乙卯，李勣為尚書左僕射|己亥，徐王元禮為司徒，李勣為司空。|癸巳，檢校洛州刺史李勣為開府儀同三司|司空英國公李勣……爲檢校封禪使|勣遂密奏曰︰「此是陛下家事，何須更問外人。」,Person
P000072,崔融,,官員,國子司業|鳳閣舍人,國子司業崔融爲哀册文。|鳳閣舍人全節崔融上言,Person
P000073,桓彥範,扶陽郡王,大臣|定策誅易之昌宗者|被追复官员|誅張易之兄弟功臣,侍中|右羽林將軍|守納言|扶陽郡王|檢校左羽林衞將軍|毫州刺史|洺州刺史|瀧州司馬|特進|納言|譙郡公,初，神龍元年十二月，侍中桓彥範上表曰|右羽林將軍桓彥範|左右羽林軍桓彥範|庚戌，桓彥範守納言|六月戊寅，貶敬暉為崖州司馬，桓彥範瀧州司馬，袁恕己竇州司馬，崔玄暐白州司馬，張柬之新州司馬。,Person
P000074,潘好禮,,官員,侍御史,開元十四年四月，侍御史潘好禮聞上欲以惠妃爲皇后，進疏諫曰,Person
P000075,張說,燕國公,外放官员|大臣|官员|宰相,中书令|中書令|中書侍郎|兵部侍郎|兵部尚书|兵部尚書|同中書門下平章事|尚書右丞相|尚書右丞相兼中書令|尚書左丞|尚書左丞相|左丞相|檢校中書令|燕國公|特進|相州刺史|開府儀同三司,張說擒康願子於木盤山|兵部尚書張說往朔方軍巡邊|且見人間盛言，尚書左丞相張說自被停知政事之後……|己未，太僕卿郭元振、中書侍郎張說並同中書門下平章事|左丞相張說加開府儀同三司,Person
P000076,沈氏,睿眞皇后|睿真皇太后,代宗妃|皇后|皇太后,,母曰睿真皇太后沈氏。|代宗克東都，得沈氏，留之宮中；史思明再陷東都，遂失所在。|安祿山之亂，玄宗避賊于蜀，諸王妃妾不及從者，皆為賊所得，拘之東都之掖廷。|皇后沈氏。開元末，選入宮。……追册曰睿眞皇后。|初，沈氏以開元末選入代宗宮。,Person
P000077,李衢,,奏事官员,大理少卿,大理少卿李衢奏︰「奉進止，令修皇后譜牒事，伏請降明勅。」,Person
P000078,李晟,,设祭请求者,,自是宗室諸親及李晟、渾瑊、神策六軍大將，皆請設祭。,Person
P000079,渾瑊,,设祭请求者,,自是宗室諸親及李晟、渾瑊、神策六軍大將，皆請設祭。,Person
P000080,韋纁,,谥议提出者,太常少卿,初，太常少卿韋纁進諡議，公卿署定，欲告天地宗廟,Person
P000081,裴度,,议政献策者,司空|同中書門下平章事|宰相|山南西道節度使|左僕射|禮儀使,在東京委裴度|宰相禮儀使裴度獻議曰：「冢宰是殷、周六官之首……」|山南西道節度使裴度守司空、同中書門下平章事。|左僕射裴度三上疏...,Person
P000082,李儀簡,,遣使告哀者,西川節度使,其年四月，西川節度使李儀簡遣使往南詔告皇太后哀。,Person
P000083,王用,,外戚,故左金吾衞大將軍,十五年五月，莊憲皇太后弟故左金吾衞大將軍王用妻胡氏進狀云,Person
P000084,胡氏,,请荫者,,十五年五月，莊憲皇太后弟故左金吾衞大將軍王用妻胡氏進狀云,Person
P000085,沈翬,, precedent案例提及者,,伏見貞元中，沈翬用姑睿眞皇太后蔭,Person
P000086,浩,, precedent案例提及者,,元和中，妾弟二男浩，亦用皇太后蔭,Person
P000087,大行皇后(貞元),貞元二年大行皇后,皇后（逝）,,貞元二年十二月，有司以皇后在殯|大行皇后喪，庶民之間，並已除服,Person
P000088,郭氏,懿安皇太后,淑妃|皇太后|穆宗生母,淑妃,乙卯，尊母為皇太后。|懿宗淑妃郭氏|母曰懿安皇太后郭氏。,Person
P000089,同昌公主,,公主,,生同昌公主,Person
P000090,崔氏,,婕妤,婕妤,婕妤崔氏,Person
P000091,韓瑗,,臣,侍中,褚遂良、韓瑗等子孫親屬|侍中韓瑗、中書令來濟奏言,Person
P000092,來濟,,臣,中書令,侍中韓瑗、中書令來濟奏言,Person
P000093,崔縱,,臣,太常卿,貞元六年七月九日，太常卿崔縱奏,Person
