timeId:ID,text,normalized,evidence,confidence:float,:LABEL
T000046,神龍元年二月,神龍元年二月,神龍元年二月，改封溫王。,0.9,TimeAnchor
T000047,景龍四年六月,景龍四年六月,景龍四年六月，册爲皇太子；,0.9,TimeAnchor
T000048,七日,景龍四年六月七日,七日，卽帝位；,0.9,TimeAnchor
T000049,二十四日,景龍四年六月二十四日,二十四日，讓位于睿宗，,0.9,TimeAnchor
T000050,景雲二年正月,景雲二年正月,景雲二年正月，改封襄王，集州安置。,0.9,TimeAnchor
T000051,開元二年四月,開元二年四月,開元二年四月，薨于房州，,0.9,TimeAnchor
T000052,文明元年,文明元年,文明元年，立爲皇太子。,0.9,TimeAnchor
T000053,開元二十九年,開元二十九年,開元二十九年薨，追册讓皇帝，葬惠陵。,0.9,TimeAnchor
T000054,天寶十載,天寶十載,天寶十載薨，諡靖德皇太子。,0.9,TimeAnchor
T000055,肅宗元年,肅宗元年,肅宗元年，追册爲奉天皇帝，葬齊陵。,0.9,TimeAnchor
T000056,寶應初,寶應初,寶應初，贈封齊王。,0.9,TimeAnchor
T000057,大曆三年,大曆三年,大曆三年，追封承天皇帝，葬順陵。,0.9,TimeAnchor
T000058,龍朔元年,661年,龍朔元年，孝敬命太子賓客許敬宗等，于文思殿博採古今集，摘其英詞麗句，以類相從，勒成五百卷，名曰《瑤山玉彩》，表上之，制賜物三萬段。,0.9,TimeAnchor
T000059,總章元年二月,668年二月,總章元年二月，勅征遼軍逃亡，限內不首，及更有逃亡者，身並處斬，家口沒官。孝敬上表切諫，請免其配沒，從之。其月，親釋奠司成館，因請贈顏回太子少師、曾參太子少保，制並從之。,0.9,TimeAnchor
T000060,咸亨二年,671年,咸亨二年，駕幸東都，太子監國。時屬大旱，關中饑乏，取廊下兵馬糧視之，見有食榆皮、蓬實者，乃令家令等各給米使足。時義陽、宣城二公主，以母得罪，幽于掖庭，太子見之驚惻，遽奏請出降。又請以同州沙苑地分借貧人，詔並許之。,0.9,TimeAnchor
T000061,開元二十九年冬十月,741年十月,開元二十九年冬十月，京城寒甚，凝霜封樹，學者以爲《春秋》「雨木冰」卽是，亦名樹介，言其象介冑也。憲見而歎曰︰「此俗爲樹稼者也，諺曰︰『樹生稼，達官怕。』必有大臣當之，我其死矣。」,0.9,TimeAnchor
T000062,其年十一月,741年十一月,其年十一月薨。上聞之，號呼失聲，左右莫不掩淚。,0.9,TimeAnchor
T000063,代宗收復兩京,唐代宗收復兩京後,時代宗收復兩京，遣判官李泌入朝獻捷，從容語及倓事。,0.9,TimeAnchor
T000066,貞觀十年五月二十六日,貞觀十年五月二十六日,太宗皇后長孫氏。……貞觀十年五月二十六日，崩于立政殿。,0.9,TimeAnchor
T000067,永徽六年十月十二日,永徽六年十月十二日,高宗皇后王氏。……六年十月十二日，廢爲庶人。,0.9,TimeAnchor
T000068,顯慶五年十月已後,顯慶五年十月以後,顯慶五年十月已後，上苦風眩，表奏時令皇后詳決，自此參預朝政，幾三十年。,0.9,TimeAnchor
T000069,載初元年九月九日,載初元年九月九日,載初元年九月九日卽位，改國號稱周，賜帝姓武氏。,0.9,TimeAnchor
T000070,神龍元年正月二十三日,神龍元年正月二十三日,神龍元年正月二十三日，傳位於中宗。,0.9,TimeAnchor
T000071,神龍元年十二月二十六日,神龍元年十二月二十六日,十二月二十六日，崩於洛陽仙居殿。,0.9,TimeAnchor
T000072,唐隆元年六月二十日,唐隆元年六月二十日,韋氏。……唐隆元年六月二十日，降爲庶人。,0.9,TimeAnchor
T000073,建中元年八月,建中元年八月,至德宗卽位，建中元年八月，追尊爲皇太后。,0.9,TimeAnchor
T000074,天祐二年十二月,天祐二年十二月,天祐二年十二月，爲梁王密遣人所害。,0.9,TimeAnchor
T000075,開元四年正月,開元四年正月,開元四年正月，大理少卿李衢奏︰「奉進止，令修皇后譜牒事，伏請降明勅。」,0.95,TimeAnchor
T000076,貞元二年十二月,貞元二年十二月,貞元二年十二月，有司以皇后在殯，請禁公私聲樂，詔曰︰「大行皇后喪，庶民之間，並已除服。」,0.95,TimeAnchor
T000077,三年正月,貞元三年正月,三年正月，詔中書門下兩省及常參官，各宜撰大行皇后挽歌詞三首。,0.9,TimeAnchor
T000078,元和十一年三月,元和十一年三月,元和十一年三月，順宗皇后王氏崩於南內之咸寧殿，諡曰莊憲。,0.95,TimeAnchor
T000079,其年四月,元和十一年四月,其年四月，西川節度使李儀簡遣使往南詔告皇太后哀。,0.9,TimeAnchor
T000080,其年七月,元和十一年七月,其年七月，禮儀使奏：「自秦、漢以來，天子之后稱皇后，母稱皇太后……」,0.9,TimeAnchor
T000081,十五年五月,元和十五年五月,十五年五月，莊憲皇太后弟故左金吾衞大將軍王用妻胡氏進狀云︰「請用姑莊憲皇太后蔭，補千牛。」,0.9,TimeAnchor
T000082,天祐元年九月,天祐元年九月,天祐元年九月，冊昭宗皇后何氏爲皇太后。,0.95,TimeAnchor
T000083,龙朔二年,龙朔二年,龙朔二年，改易官名,0.9,TimeAnchor
T000084,咸亨二年,咸亨二年,咸亨二年，復舊。,0.9,TimeAnchor
T000085,永徽,永徽,及高宗永徽之後,0.9,TimeAnchor
T000086,貞觀十三年二月二十五日,貞觀十三年二月二十五日,貞觀十三年二月二十五日，尚書八座議曰：「謹按王者正位，作爲人極，朝有公卿之列，室有嬪御之序。內政修而家理，外敎和而國安。爰自周代，洎乎漢室，名號損益，時或不同，然皆寤寐賢才，博採淑令，非唯德洽宮壼，抑亦慶流邦國。近代以降，情溺私寵，掖庭之選，有乖故實。或微賤之族，禮訓蔑聞；或刑戮之家，怨憤充積。而濫吹名級，入侍宮闈，卽事而言，竊未爲得。臣等伏請，今日以後，後宮及東宮內職員有闕者，皆選有才行充之。若內無其人，則旁求於外，采擇良家，以禮聘納。」,0.9,TimeAnchor
T000087,永徽六年十月,永徽六年十月,永徽六年十月，武后未立，上特號爲宸妃。侍中韓瑗、中書令來濟奏言︰「帝王嬪妃，自有恆數，今若別立妃號，臣等竊以爲不可。」乃止。,0.9,TimeAnchor
T000088,貞元六年七月九日,貞元六年七月九日,貞元六年七月九日，太常卿崔縱奏：「謹按《司封令》及《六典》，王母爲太妃。高祖宇文昭儀生韓王元嘉，後爲韓國太妃。太宗燕妃生越王貞，後爲越國太妃。今諸王母未有封號，請遵典故。」,0.9,TimeAnchor
T000089,其月,貞元六年七月,其月，吏部郎中柳冕署狀，稱︰「歷代故事及《六典》無公主母稱號，臣謹約文比義，公主母旣因公主而貴，伏請降於王母一等，命爲太儀，各以公主本封，加太儀之上。」旨依。,0.9,TimeAnchor
T000090,元和四年,元和四年,元和四年，德宗皇帝妃韋氏卒，廢朝三日。,0.9,TimeAnchor
T000091,貞元中,貞元年間,貞元中，澤潞節度使李抱眞貢至闕下，德宗召入宮試，兼問經史文義，深加賞歎。,0.9,TimeAnchor
T000092,寶曆元年,寶曆元年,寶曆元年，贈梁國夫人。,0.9,TimeAnchor
T000093,其年七月,寶曆元年七月,其年七月，勅殿中上奉御郭環曾祖故陳州刺史崇，可封工部尚書；曾祖母唐氏，可贈晉昌郡夫人；祖母李氏，可贈隴西郡夫人；父右威衞將軍義，可贈禮部尚書，以環妹才人有寵故也。,0.9,TimeAnchor
T000094,天祐二年九月六日,天祐二年九月六日,天祐二年九月六日，內出宣旨：「乳母楊氏可賜號昭儀，乳母王氏可封郡夫人，第二乳母先帝已封郡夫人，可準楊氏例改封。」,0.9,TimeAnchor
T000096,會昌中,會昌年間,父會昌中爲義王駙馬。,0.9,TimeAnchor
T000097,武德九年八月十八日,武德九年八月十八日,武德九年八月十八日詔,0.9,TimeAnchor
T000098,貞觀二年春三月,貞觀二年春三月,貞觀二年春三月，中書舍人李百藥上封事曰,0.9,TimeAnchor
T000099,貞觀二年七月三日,貞觀二年七月三日,至七月三日，上謂侍臣曰,0.9,TimeAnchor
T000100,開元二年八月十日,開元二年八月十日,開元二年八月十日詔曰,0.9,TimeAnchor
T000101,大曆十四年五月,大曆十四年五月,大曆十四年五月，出宮人百餘人。,0.9,TimeAnchor
T000102,貞元二十一年三月,貞元二十一年三月,貞元二十一年三月，出後宮人三百人。,0.9,TimeAnchor
T000103,元和八年六月,元和八年六月,元和八年六月，出宮人二百車，任其嫁配。,0.9,TimeAnchor
T000104,元和十年十二月,元和十年十二月,十年十二月，出宮人七十二人。,0.9,TimeAnchor
T000105,長慶四年二月,長慶四年二月,長慶四年二月，勅先在掖庭宮人及逆人家口幷配內園者，並放出外,0.9,TimeAnchor
T000107,開成三年二月,開成三年二月,開成三年二月，文宗以旱出宮人劉好奴等五百餘人,0.9,TimeAnchor
T000108,北宋,北宋,times=北宋,0.95,TimeAnchor
T000109,貞觀十六年六月,贞观十六年六月,貞觀十六年六月，苑西守監穆裕，農囿不脩，太宗怒甚，命于朝堂斬之。,0.9,TimeAnchor
T000110,十七年閏六月,十七年闰六月,十七年閏六月，詔曰︰「皇太子地惟儲副，寄深監撫，兼統禁旅，是允舊章，宜知左右屯營兵馬事，大將已下，並受處分。」,0.9,TimeAnchor
T000111,十九年,十九年,十九年，高士廉、劉洎等表稱皇太子與百官書疏，先無禮式，請詳定其儀。,0.9,TimeAnchor
T000112,二十年,二十年,二十年，太宗于寢殿側置一院，令太子居之，絕不遣往東宮。,0.9,TimeAnchor
T000113,長安三年,长安三年,長安三年，太子詹事崔神慶上表曰︰「臣伏思五品以上所以帶龜者，比爲別勑徵召，恐有詐妄，內出龜合，然後應命。」,0.9,TimeAnchor
T000114,開元十六年五月,开元十六年五月,開元十六年五月勅︰「所選皇太子及諸王等妃，旣是百官子女，禮合避人。今追就府縣及過本司，未爲得所。」,0.9,TimeAnchor
T000115,乾元元年四月,乾元元年四月,乾元元年四月，代宗自楚王改封成王。張皇后有子數歲，陰有奪宗之議。,0.9,TimeAnchor
T000116,建中元年二月,建中元年二月,建中元年二月，國子司業歸崇敬上言︰「準制，皇太子時幸太學，行齒胄之禮者。」,0.9,TimeAnchor
T000117,貞元中,贞元中,貞元中，裴延齡、韋渠牟以姦佞相次選用。延齡尤狡險，判度支，務尅剝聚斂，自以爲功，天下怨怒。,0.9,TimeAnchor
T000118,貞元二十一年四月,贞元二十一年四月,貞元二十一年四月，册廣陵王爲皇太子。時順宗卽位已久，而臣下未有親奏對者。,0.9,TimeAnchor
T000119,元和五年二月,元和五年二月,元和五年二月，太常禮院奏︰「百官避皇太子名諱，詳禮經，公卿大夫與太子同名無嫌。」,0.9,TimeAnchor
T000120,六年閏十二月,六年闰十二月,六年閏十二月，皇太子薨。前四年，有司將行册禮，改以孟秋，再卜日，臨事皆以雨而罷。,0.9,TimeAnchor
T000121,元和十年,元和十年,元和十年，皇太子侍讀、諫議大夫韋綬奏︰「皇太子學書至『依』字，輒去其傍『人』字。」,0.9,TimeAnchor
T000122,長慶二年十二月,长庆二年十二月,長慶二年十二月，上御紫宸殿，册皇太子。故事，册太子御宣政殿，時以聖體未康，慮勞登御，故從便也。,0.9,TimeAnchor
T000123,開成元年五月,开成元年五月,開成元年五月，中書門下奏：「臣等累奉德音，令與皇太子於甲族選妃家。」,0.9,TimeAnchor
T000124,開成三年十月,开成三年十月,開成三年十月，莊恪太子薨。太常禮院奏︰「皇太子薨，禮儀至重。諸祠祭除天地社稷之外，並合權停。」,0.9,TimeAnchor
T000126,大中六年,大中六年,靖懷太子漢。{{*|宣宗第二子，會昌六年封王，大中六年薨，追諡靖懷。}},0.9,TimeAnchor
T000127,永淳,永淳元年,改元永淳,0.9,TimeAnchor
T000129,聖曆初,聖曆初年,聖曆初，中宗爲皇太子，封爲邵王,0.9,TimeAnchor
T000130,大足元年,大足元年,大足元年，爲人所搆與其妹永泰郡主之夫魏王武延基等竊議張易之兄弟何得恣入宮中，則天命杖殺之，年十八,0.9,TimeAnchor
T000131,中宗卽位,中宗即位时,中宗卽位，追贈皇太子，諡曰懿德，陪葬乾陵,0.9,TimeAnchor
T000132,貞觀十七年十一月二十八日,貞觀十七年十一月二十八日,貞觀十七年十一月二十八日，誕皇太孫,0.9,TimeAnchor
T000133,永淳元年三月十五日,永淳元年三月十五日,永淳元年三月十五日，立皇孫重照爲皇太孫,0.9,TimeAnchor
T000134,憲宗皇帝六七歲時,憲宗皇帝六七歲時,憲宗皇帝六七歲時，德宗抱置膝上,0.9,TimeAnchor
T000136,高宗朝,唐高宗时期,高宗朝，以沛、英、豫三王及太平公主，武后所生，食封逾於常制。,0.95,TimeAnchor
T000137,垂拱中,垂拱年间（685-688）,垂拱中，太平至一千二百戶。,0.95,TimeAnchor
T000138,聖曆初,圣历初年（698）,聖曆初，皇嗣封爲相王，太平公主皆三千戶。,0.95,TimeAnchor
T000139,長安中,长安年间（701-704）,長安中，壽春王兄弟五人，各三百戶。,0.95,TimeAnchor
T000140,神龍初,神龙初年（705）,神龍初，相王、太平公主同至五千戶，衞王三千戶，溫王二千戶...,0.95,TimeAnchor
T000141,唐隆中,唐隆年间（710）,唐隆中，嗣雍王、壽春王封爲親王，各加至一千戶。,0.95,TimeAnchor
T000142,開元中,开元年间（713-741）,開元中，寧王五千五百戶，岐王、薛王各五千戶...,0.95,TimeAnchor
T000143,貞觀中,贞观年间（627-649）,初，貞觀中，高宗爲晉王，以文德皇后最少子...,0.95,TimeAnchor
T000144,先天之後,先天之后（712年后）,先天之後，皇子幼則居內...,0.9,TimeAnchor
T000145,東封後,东封泰山之后（约725年后）,東封後，以年漸長成，乃於安國寺東附苑城爲大宅...,0.85,TimeAnchor
T000146,開元二十五年,开元二十五年（737）,開元二十五年，鄂、光得罪，忠王繼大統...,0.95,TimeAnchor
T000147,天寶中,天宝年间（742-756）,天寶中，慶、棣又歿，惟榮、儀十四王居內...,0.95,TimeAnchor
T000148,貞觀十六年四月,貞觀十六年四月,貞觀十六年四月，詔泰移居武德殿。,0.95,TimeAnchor
T000149,十七年五月,貞觀十七年五月,十七年五月，上親謁太廟，以謝承乾之過,0.9,TimeAnchor
T000150,垂拱三年七月,垂拱三年七月,垂拱三年七月，遂各起兵赴神都。,0.95,TimeAnchor
T000151,乾封初,乾封初年,乾封初，詔曰：「素節旣患舊疾，宜不須入朝。」,0.9,TimeAnchor
T000152,天授中,天授年間,天授中，與澤王上金同被誣告，追赴都。,0.9,TimeAnchor
T000153,神龍初,神龍初年,神龍初，侍中敬暉等以沖父子翼戴皇家，義存社稷，請復其官爵。,0.9,TimeAnchor
T000154,開元四年,開元四年,開元四年，詔追復爵土，令備禮改葬。,0.95,TimeAnchor
T000155,五年,開元五年,五年，又下詔封貞姪孫琳爲嗣越王，以奉其祀,0.85,TimeAnchor
T000156,至開成四年六月,開成四年六月,至開成四年六月，其裔孫女道士元貞，護先代數喪歸葬,0.95,TimeAnchor
T000157,建中三年,建中三年,建中三年薨。,0.95,TimeAnchor
T000158,乾元二年七月,乾元二年七月,乾元二年七月，爲天下兵馬元帥。,0.95,TimeAnchor
T000159,高祖崩,唐高祖駕崩時,高祖崩，去職，毀瘠過禮,0.85,TimeAnchor
T000160,高宗崩,唐高宗駕崩時,高宗崩，與侍中劉齊賢等知山陵事,0.85,TimeAnchor
T000162,高祖,高祖时期,高祖十九女：長沙，{{*|降馮少師。}},0.9,TimeAnchor
T000163,太宗,太宗时期,太宗二十一女：襄城，{{*|降蕭銳，後降姜簡。}},0.9,TimeAnchor
T000164,高宗,高宗时期,高宗三女：義陽，{{*|降權毅。}},0.9,TimeAnchor
T000165,中宗,中宗时期,中宗八女：新都，{{*|降武延暉。}},0.9,TimeAnchor
T000166,睿宗,睿宗时期,睿宗十一女：壽昌，{{*|降崔眞。}},0.9,TimeAnchor
T000167,玄宗,玄宗时期,玄宗三十女：永穆，{{*|降王繇。}},0.9,TimeAnchor
T000168,肅宗,肅宗时期,肅宗七女：長樂，{{*|降豆盧諶，改封宿國。}},0.9,TimeAnchor
T000169,代宗,代宗时期,代宗十八女。靈仙，{{*|早薨。}},0.9,TimeAnchor
T000170,德宗,德宗时期,德宗十一女：唐安，{{*|降韋宥，早薨，贈韓國，諡貞穆。}},0.9,TimeAnchor
T000171,順宗,順宗时期,順宗十一女：漢陽，{{*|降郭鏦。}},0.9,TimeAnchor
T000172,憲宗,憲宗时期,憲宗十九女：普寧，{{*|降于季友。改封永昌，贈梁國，諡惠康。}},0.9,TimeAnchor
T000173,穆宗,穆宗时期,穆宗八女：義豐，{{*|降韋處仁。}},0.9,TimeAnchor
T000174,敬宗,敬宗时期,敬宗三女：永興，天長，寧國。,0.9,TimeAnchor
T000175,文宗,文宗时期,文宗四女：興唐，西平，朗寧，光化。,0.9,TimeAnchor
T000176,武宗,武宗时期,武宗七女：昌樂，壽春，永清，延慶，靜樂，樂溫，長寧。,0.9,TimeAnchor
T000177,宣宗,宣宗时期,宣宗十一女：萬壽，{{*|降鄭顥。}},0.9,TimeAnchor
T000178,懿宗,懿宗时期,懿宗八女：同昌，{{*|降韋保衡。封衛國，諡文懿。}},0.9,TimeAnchor
T000179,僖宗,僖宗时期,僖宗二女：唐興，永平。,0.9,TimeAnchor
T000180,昭宗,昭宗时期,昭宗十一女：新安，平原，{{*|降李繼侃。}},0.9,TimeAnchor
T000181,義兵起,義兵起,義兵起，公主于鄠縣莊散家資招引山中亡命,0.9,TimeAnchor
T000182,貞觀五年,貞觀五年,貞觀五年，長樂公主出降,0.9,TimeAnchor
T000183,十一年,貞觀十一年,十一年，侍中王珪子敬直尚南平公主,0.9,TimeAnchor
T000184,十六年七月三日,貞觀十六年七月三日,十六年七月三日，勅晉王宜班于朝列,0.9,TimeAnchor
T000185,永徽元年正月,永徽元年正月,永徽元年正月，衡山公主欲出降長孫氏,0.9,TimeAnchor
T000186,咸亨二年五月十六日,咸亨二年五月十六日,咸亨二年五月十六日，城陽公主薨,0.9,TimeAnchor
T000187,顯慶三年九月十九日,顯慶三年九月十九日,顯慶三年九月十九日，詔︰「古稱釐降，唯屬王姬...,0.9,TimeAnchor
T000188,神龍二年閏正月一日,神龍二年閏正月一日,神龍二年閏正月一日，勅置公主設官屬,0.9,TimeAnchor
T000189,景龍四年六月二十二日,景龍四年六月二十二日,至景龍四年六月二十二日，停公主府，依舊置邑司,0.9,TimeAnchor
T000190,唐隆元年六月二十六日,唐隆元年六月二十六日,唐隆元年六月二十六日，勅公主置府...,0.9,TimeAnchor
T000191,開元十年,開元十年,開元十年，永穆公主出降,0.9,TimeAnchor
T000192,天寶七載,天寶七載,天寶七載，皇女道士萬安公主出就金仙觀安置,0.9,TimeAnchor
T000193,乾元三年正月十九日,乾元三年正月十九日,乾元三年正月十九日，永昌縣主壻韋嗣道宜付吏部與散官,0.9,TimeAnchor
T000194,建中元年九月,建中元年九月,建中元年九月，詔婚嫁函書，出于近代...,0.9,TimeAnchor
T000195,建中元年十二月,建中元年十二月,十二月，出嫁岳陽等十一縣主,0.9,TimeAnchor
T000196,貞元二年二月,貞元二年二月,貞元二年二月，太常奏：「長林公主出降...」,0.9,TimeAnchor
T000197,貞元四年二月七日,貞元四年二月七日,至四年二月七日，太常卿董晉奏曰...,0.9,TimeAnchor
T000198,貞元十五年七月三日,貞元十五年七月三日,至十五年七月三日，有司奏：「册公主儀注...」,0.9,TimeAnchor
T000199,貞元二十一年四月七日,貞元二十一年四月七日,至二十一年四月七日，勅禮部。禮儀使奏...,0.9,TimeAnchor
T000200,貞元五年十二月十八日,貞元五年十二月十八日,五年十二月十八日，諸郡縣主壻每停官後...,0.9,TimeAnchor
T000201,貞元六年十一月,貞元六年十一月,六年十一月，詔：「郡主壻檢校四品京官者...」,0.9,TimeAnchor
T000202,貞元十一年十月,貞元十一年十月,十一年十月，義陽公主出降祕書少監王士平,0.9,TimeAnchor
T000203,貞元十四年,貞元十四年,十四年，故懷澤縣主壻檢校右贊善大夫竇克構狀言...,0.9,TimeAnchor
T000204,貞元十五年七月,貞元十五年七月,十五年七月勅：「駙馬郡、縣主，如實無子...」,0.9,TimeAnchor
T000205,永貞元年正月,永貞元年正月,永貞元年正月，度支奏：「故永昌公主薨...」,0.9,TimeAnchor
T000206,元和三年三月,元和三年三月,元和三年三月勅：「縣主壻請授外官...」,0.9,TimeAnchor
T000207,元和七年十一月,元和七年十一月,七年十一月，京兆尹元義方奏：「永昌公主祠堂制度...」,0.9,TimeAnchor
T000208,元和九年八月,元和九年八月,九年八月，岐陽公主出降杜悰...,0.9,TimeAnchor
T000209,大和三年正月,大和三年正月,大和三年正月勅：「潯陽、平恩、邵陽三公主...」,0.9,TimeAnchor
T000210,大和四年五月,大和四年五月,四年五月勅：「出降縣主妝粉錢...」,0.9,TimeAnchor
T000211,大和四年正月,大和四年正月,四年正月勅：「駙馬竇澣，公主衣服逾制...」,0.9,TimeAnchor
T000212,開成二年十二月,開成二年十二月,開成二年十二月勅：「駙馬嘗爲公主行服三年...」,0.9,TimeAnchor
T000213,開成三年十二月,開成三年十二月,三年十二月勅：「駙馬都尉尚公主後...」,0.9,TimeAnchor
T000214,會昌五年七月,會昌五年七月,會昌五年七月，中書門下奏：「伏見公主上表稱妾李氏者...」,0.9,TimeAnchor
T000215,大中四年二月,大中四年二月,大中四年二月，以起居郎、駙馬都尉鄭顥尚萬壽公主...,0.9,TimeAnchor
T000216,大中五年四月,大中五年四月,五年四月勅：「夫婦之際，敎化之端...」,0.9,TimeAnchor
T000217,大中五年八月,大中五年八月,其年八月勅：「公主邑司，擅行文牒...」,0.9,TimeAnchor
T000218,咸通十二年二月,咸通十二年二月,咸通十二年二月，葬衞國公主於少陵原,0.9,TimeAnchor
T000219,貞觀十三年十一月,貞觀十三年十一月,貞觀十三年十一月，降吐谷渾慕容諸葛鉢。,0.9,TimeAnchor
T000220,貞觀十五年正月十五日,貞觀十五年正月十五日,貞觀十五年正月十五日封，降于吐蕃贊普弄讚，命江夏王送之。,0.9,TimeAnchor
T000221,神龍三年四月十四日,神龍三年四月十四日,神龍三年四月十四日，降于吐蕃贊普。,0.9,TimeAnchor
T000222,乾元元年七月十七日,乾元元年七月十七日,乾元元年七月十七日，出降回鶻英武威遠毘伽可汗，置公主府。,0.9,TimeAnchor
T000223,二年八月二十三日,乾元二年八月二十三日,二年八月二十三日，自蕃還。,0.9,TimeAnchor
T000224,貞元五年四月十二日,貞元五年四月十二日,至貞元五年四月十二日，議罷公主府，置邑司。,0.9,TimeAnchor
T000225,開元二十五年十一月三日,開元二十五年十一月三日,開元二十五年十一月三日，出降契丹松漠郡王李失活。,0.9,TimeAnchor
