eventId:ID,name,event_type,time,place,participants:string[],description,outcomes:string[],evidence:string[],confidence:float,:LABEL
E000011,文宗葬禮,burial,開成五年八月,章陵（京兆府富平縣）,文宗,安葬於章陵,,八|月|，|葬|章|陵|。|{|{|*|||在|京|兆|府|富|平|縣|界|。|}|},0.95,Event
E000012,武宗出生,birth,元和九年甲午歲六月十一日,東宮,中宗,武宗皇帝出生於東宮,以其日爲慶陽節,元和九年甲午歲六月十一日，生于東宮。|{{*|以其日爲慶陽節。}},0.95,Event
E000013,武宗即位,accession,開成五年正月,,中宗,立爲皇太子後即位,年二十七|後改名炎,開|成|五|年|正|月|，|立|爲|皇|太|子|。|其|年|卽|位|。|{|{|*|||年|二|十|七|。|}|},0.95,Event
E000014,武宗上尊號（第一次）,honorific_title,會昌二年正月,,中宗,上尊號仁聖文武至神大孝皇帝,,會|昌|二|年|正|月|，|上|尊|號|曰|仁|聖|文|武|至|神|大|孝|皇|帝|。,0.95,Event
E000015,武宗崩逝,death,會昌六年三月二十三日,,中宗,駕崩,年三十三|葬端陵,六|年|三|月|，|改|名|炎|。|其|月|二|十|三|日|，|崩|。|{|{|*|||年|三|十|三|。|}|},0.95,Event
E000016,宣宗即位,accession,會昌六年三月二十二日,,宣宗,武宗不豫時立爲皇太叔，翌日即位改名忱,年三十七|改元大中,會|昌|六|年|丙|寅|三|月|二|十|一|日|，|武|宗|不|豫|，|立|皇|太|叔|，|勾|當|軍|國|政|事|。|翌|日|，|卽|位|，|改|名|忱|。|{|{|*|||年|三|十|七|。|}|},0.9,Event
E000017,宣宗崩逝,death,大中十三年己卯八月七日,大明宮,宣宗,駕崩於大明宮,年五十|葬貞陵,大|中|十|三|年|己|卯|八|月|七|日|，|崩|于|大|明|宮|。|{|{|*|||年|五|十|。|}|},0.95,Event
E000018,懿宗即位,accession,大中十三年八月,,中宗,宣宗崩後翌日即位,年二十七|改元咸通,大|中|十|三|年|己|卯|八|月|，|立|爲|皇|太|子|，|監|國|，|改|名|漼|。|翌|日|，|宣|宗|崩|，|卽|位|。|{|{|*|||年|二|十|七|。|}|},0.95,Event
E000019,僖宗即位,accession,咸通十四年七月,,僖宗,懿宗崩後即位,年十二,咸|通|十|四|年|癸|巳|七|月|，|立|爲|皇|太|子|，|改|名|儇|。|是|月|，|懿|宗|崩|，|卽|位|。|{|{|*|||年|十|二|。|}|},0.95,Event
E000020,僖宗崩逝,death,文德元年三月,武德殿,僖宗,駕崩於武德殿,年二十七|葬靖陵,文|德|元|年|三|月|，|崩|于|武|德|殿|。|{|{|*|||年|二|十|七|。|}|},0.95,Event
E000021,昭宗遇弒,assassination,天祐元年甲子八月,東都椒殿,中宗|蔣玄暉|中宗,梁王密令蔣玄暉等弒殺昭宗於東都椒殿,年三十八|葬和陵,天|祐|元|年|甲|子|八|月|，|梁|王|密|令|蔣|玄|暉|等|弒|于|東|都|椒|殿|。|{|{|*|||年|三|十|八|。|}|},0.95,Event
E000022,哀帝禪位,abdication,天祐四年丁卯三月,,哀帝|梁,禪位於梁，被遷至曹州,被奉爲濟陰王|次年遇害,天|祐|四|年|丁|卯|三|月|，|禪|位|于|梁|。|梁|奉|帝|爲|濟|陰|王|，|遷|於|曹|州|。,0.95,Event
E000023,哀帝遇害,death,天祐五年二月,氏叔琮之第（曹州）,哀帝,於前刺史氏叔琮宅第遇害,年十七|葬濟陰定陶鄉,明|年|二|月|，|遇|害|前|刺|史|氏|叔|琮|之|第|。|{|{|*|||年|十|七|。|}|},0.85,Event
E000024,文宗哀冊文撰寫,document_writing,開成五年後,,崔鄲,中書侍郎平章事崔鄲撰寫文宗哀冊文,,哀|册|文|，|{|{|*|||中|書|侍|郎|平|章|事|崔|鄲|撰|。|}|},0.95,Event
E000025,年號更迭（僖宗）,era_change,乾符至文德年間,,,年號多次更迭：乾符→廣明→中和→光啓→文德,,{|{|*|||乾|符|七|年|，|改|廣|明|元|年|。|廣|明|二|年|，|改|中|和|元|年|。|中|和|五|年|，|改|光|啓|元|年|。|光|啓|四|年|，|改|文|德|元|年|。|}|},0.95,Event
E000026,年號更迭（昭宗）,era_change,龍紀至天祐年間,,,年號多次更迭：龍紀→大順→景福→乾寧→光化→天復→天祐,,{|{|*|||龍|紀|二|年|，|改|大|順|。|大|順|三|年|，|改|景|福|。|景|福|三|年|，|改|乾|寧|。|乾|寧|五|年|，|改|光|化|。|光|化|四|年|，|改|天|復|。|天|復|四|年|，|改|天|祐|。|}|},0.95,Event
E000027,颜真卿议改庙号尊号事件,礼仪奏议,大曆十四年七月,,顏眞卿|中宗|袁傪|尚书省官员,颜真卿上奏建议简化高祖至肃宗七圣庙号尊号，取初谥为定，并列初谥方案；皇帝令尚书省议定；袁傪以陵庙玉册已刊为由反对，议改遂罢。,议改庙号尊号之事被终止,顏眞卿上言︰「高祖至肅宗七聖...請高祖以下累聖諡號，悉取初諡爲定...」乃令尚書省議之。...兵部侍郎袁傪...上言：「陵廟中玉册旣刊矣，不可輕改。」遂罷之。,0.95,Event
E000028,颁布罪己诏事件,诏令颁布,興元元年正月,奉天,中宗,皇帝在奉天颁布罪己诏，主动去除自身徽号；此后虽平定叛乱、恢复秩序，群臣屡请恢复徽号，皇帝始终不允。,皇帝去除徽号且永不恢复,上在奉天，頒罪己之詔，讓去徽號。其後雖翦大盜，復天步，羣臣屢請，終不許焉。,0.95,Event
E000029,议定大行皇帝谥号程序奏议,礼仪程序奏定,元和十五年四月,南郊,禮儀使|中書門下御史臺五品以上官員|尚書省四品以上官員,礼仪使奏请依礼制，集中书门下御史台五品以上、尚书省四品以上官员于南郊告天后议定大行皇帝谥号，连署奏闻。,确立议定谥号的法定程序,禮儀使奏：「羣臣告天，請大行皇帝諡...合集中書門下御史臺五品以上，尚書省四品以上，于南郊告天畢議定，然後連署聞奏。」,0.9,Event
E000030,王涯等请册徽号事件,上表请求,太和七年十二月,,王涯|其他三位宰臣|中宗,宰臣王涯等四人上表请求为皇帝加册徽号。,皇帝不许,宰臣王涯等四人上表請册徽號，不許。,0.95,Event
E000031,群臣再请加徽号事件,上表请求,開成二年二月,紫宸殿,鄭覃|李固言|李石|诸道节度观察使|中宗,皇帝御紫宸殿时，宰相郑覃、李固言、李石等当面请求，诸道节度观察使频上表章请加徽号；皇帝固辞不允；全月二十余道表章（含再请三请）均被驳回。,所有加徽号请求被皇帝拒绝,因御紫宸殿，宰相鄭覃、李固言、李石等以請，諸道節度觀察使頻有表章...其月自朔至晦，諸道節度觀察使請上徽號者，凡二十餘道，或再請三請者，皆報不許焉。,0.95,Event
E000032,追尊顺宗宪宗谥号事件,追尊典礼,大中三年十二月二十五日,宣政殿,中宗|白敏中|太尉|百僚,因河湟收复，群臣请加尊号，皇帝谦让，提议追尊顺宗、宪宗谥号以彰成功；宰臣白敏中等赞同；册封日皇帝于宣政殿受玉册，流泪目送使者；中书门下所奏仪式方案获准。,顺宗、宪宗谥号成功追尊,追尊順宗憲宗諡號。...上曰：「河湟已復...朕欲追尊順宗、憲宗諡號...」宰臣白敏中等對...上御宣政殿...流涕嗚咽。{{*|先是，中書門下奏...詔可之。}},0.95,Event
E000033,改议昭宗谥号事件,议谥改谥,天祐二年三月,,蘇楷|張廷範|羅扆|盧鼎|哀帝,起居郎苏楷议昭宗原谥不当，援引汉例请改庙号；太常卿张廷范改谥为'恭灵庄闵孝皇帝'，庙号襄宗；注释揭示苏楷因科举被黜衔怨，议文实由罗扆代笔，时政出贼臣，哀帝不能制。,昭宗谥号与庙号被更改,起居郎蘇楷議昭宗諡號曰...伏望別議新廟之稱...太常卿張廷範改諡曰恭靈莊閔孝皇帝，廟號襄宗。{{*|楷，禮部尚書循之子...楷目不知書，其文羅扆所作，蓋時政出賊臣，哀帝亦不能制之也。}},0.9,Event
E000034,封代王,封爵,永徽四年正月,,中宗,永徽四年正月封代王,受封代王,永徽四年正月封代王,0.9,Event
E000035,册皇太子,册封,顯慶元年,,中宗,顯慶元年册爲皇太子,确立皇太子身份,顯慶元年，册爲皇太子,0.9,Event
E000036,薨,死亡,上元二年四月二十五日,合璧宮倚雲殿,中宗,薨于合璧宮倚雲殿,死亡,上元二年四月二十五日，薨于合璧宮倚雲殿,0.9,Event
E000037,追諡孝敬皇帝,追諡,上元二年五月五日,,中宗,贈諡曰孝敬皇帝,获谥孝敬皇帝,五月五日贈諡曰孝敬皇帝,0.9,Event
E000038,卽帝位,即位,景龍四年六月七日,,中宗,卽帝位,登基为帝,七日，卽帝位,0.9,Event
E000039,讓位,禅让,景龍四年六月二十四日,,中宗|中宗,讓位于睿宗,退位，降封溫王,二十四日，讓位于睿宗,0.9,Event
E000040,追諡殤皇帝,追諡,開元二年,,中宗,追諡殤皇帝,获谥殤皇帝,開元二年四月，薨于房州，年十七，追諡殤皇帝,0.9,Event
E000041,追册讓皇帝,追册,開元二十九年,,中宗,追册讓皇帝,追尊为讓皇帝,開元二十九年薨，追册讓皇帝,0.9,Event
E000042,追册奉天皇帝,追册,肅宗元年,,潭,追册爲奉天皇帝,追尊为奉天皇帝,肅宗元年，追册爲奉天皇帝,0.9,Event
E000043,追封承天皇帝,追封,大曆三年,,倓,追封承天皇帝,追尊为承天皇帝,大曆三年，追封承天皇帝,0.9,Event
E000044,編纂《瑤山玉彩》,文化編纂,龍朔元年,文思殿,中宗|許敬宗,命許敬宗等博採古今文集，摘錄麗句分類編纂成書,成書五百卷，表上之，獲賜物三萬段,龍朔元年，孝敬命太子賓客許敬宗等，于文思殿博採古今集，摘其英詞麗句，以類相從，勒成五百卷，名曰《瑤山玉彩》，表上之，制賜物三萬段。,0.9,Event
E000045,諫免逃亡軍懲處,政治諫言,總章元年二月,,中宗|肅宗(推定下敕者),針對征遼逃亡軍嚴懲敕令上表切諫,皇帝採納諫言，免其配沒,總章元年二月，勅征遼軍逃亡，限內不首，及更有逃亡者，身並處斬，家口沒官。孝敬上表切諫，請免其配沒，從之。,0.9,Event
E000046,釋奠司成館並奏請追贈,禮儀奏請,總章元年二月,司成館,中宗|顏回|曾參|中宗,親行釋奠禮，奏請追贈顏回、曾參官職,制並從之,其月，親釋奠司成館，因請贈顏回太子少師、曾參太子少保，制並從之。,0.9,Event
E000047,監國賑濟關中,災荒賑濟,咸亨二年,關中,中宗,監國期間察知士兵食榆皮蓬實，令家令發米賑濟,士兵糧食得足,咸亨二年，駕幸東都，太子監國。時屬大旱，關中饑乏，取廊下兵馬糧視之，見有食榆皮、蓬實者，乃令家令等各給米使足。,0.9,Event
E000048,奏請釋放二公主及借地貧民, humanitarian 請奏,咸亨二年,掖庭、同州沙苑,中宗|義陽公主|宣城公主|貧人|中宗,見二公主幽禁於掖庭奏請出降；請以沙苑地借予貧人,詔並許之,時義陽、宣城二公主，以母得罪，幽于掖庭，太子見之驚惻，遽奏請出降。又請以同州沙苑地分借貧人，詔並許之。,0.9,Event
E000049,李泌進諫肅宗,政治諫言,代宗收復兩京,,李泌|中宗|倓|中宗,獻捷時引《黃臺瓜辭》諫肅宗勿行廢立,自是奪宗之計不行,泌曰：「臣幼稚時，念得《黃臺瓜辭》……陛下有今日運祚，已一摘矣，愼無再摘。」上愕然曰︰「卿安得有是言。」自是奪宗之計不行。,0.9,Event
E000050,玄宗致書兄弟並厚待讓帝,皇室往來,,,中宗|中宗|範|成義,致書引魏文帝詩、陳思王事，強調兄弟親睦；日常厚賜憲，憲奏請錄賜物付史館,憲奏請年終錄付史館，每年至數百紙,玄宗嘗與讓帝憲及岐王範等書曰︰「昔魏文帝詩云……朕未嘗不廢寢忘餐欽歎也！……今分此藥，願與兄弟同保長齡……」時申王等皆先薨，唯憲獨在，上尤加恩貸。每至憲生日……憲奏請年終錄付史館，每年至數百紙。,0.9,Event
E000051,讓帝憲觀異象歎逝並薨,預言與逝世,開元二十九年冬十月至十一月,京城,中宗|中宗,見樹介異象引諺語自歎將逝；十一月薨，玄宗哀慟,憲薨，玄宗號呼失聲,開元二十九年冬十月，京城寒甚……憲見而歎曰︰「此俗爲樹稼者也……我其死矣。」其年十一月薨。上聞之，號呼失聲，左右莫不掩淚。,0.9,Event
E000052,追諡宣獻皇后,追諡,咸亨五年八月十五日,,張氏,追諡宣皇帝皇后張氏為宣獻皇后,張氏獲諡宣獻,宣皇帝皇后張氏。諡宣獻。咸亨五年八月十五日追諡。,0.9,Event
E000053,長孫氏崩逝,崩逝,貞觀十年五月二十六日,立政殿,文德皇后|中宗,文德皇后長孫氏崩於立政殿，年三十六,長孫氏逝世，後多次追尊,貞觀十年五月二十六日，崩于立政殿。{{*|年三十六。}},0.9,Event
E000054,廢王皇后立武昭儀,廢立,永徽六年十月十二日,,中宗|中宗|中宗|李義府|李勣|許敬宗,高宗廢王皇后為庶人，立武昭儀為皇后，經李義府上表、李勣密奏、許敬宗倡議,王皇后被廢|武氏立為皇后,六年十月十二日，廢爲庶人。……永徽五年，中書舍人李義府上表請廢王皇后，立昭儀……勣遂密奏曰……許敬宗又言於朝曰,0.9,Event
E000055,武氏參預朝政,參政,顯慶五年十月以後,,中宗|中宗,高宗因風眩令武后詳決表奏，自此參預朝政近三十年，時稱「二聖」,武氏掌握實權,顯慶五年十月已後，上苦風眩，表奏時令皇后詳決，自此參預朝政，幾三十年。當時畏威，稱爲「二聖」。,0.9,Event
E000056,武則天稱帝改國號,稱帝,載初元年九月九日,,中宗,武氏卽皇帝位，改唐為周，賜皇帝姓武氏,建立武周政權,載初元年九月九日卽位，改國號稱周，賜帝姓武氏。,0.9,Event
E000057,武則天崩逝,崩逝,神龍元年十二月二十六日,洛陽仙居殿,中宗,則天大聖皇帝崩於洛陽仙居殿，年八十一,追諡則天大聖皇后，後多次改尊號,十二月二十六日，崩於洛陽仙居殿。{{*|年八十一。}}諡曰則天大聖皇后。,0.9,Event
E000058,沈氏追尊與招魂葬,追尊,建中元年八月至貞元元年,定陵、元陵,沈氏|中宗|彭景直,沈氏失蹤多年後，德宗追尊為皇太后，依禮招魂祔葬，造褘衣置寢宮,追册睿眞皇后，祔代宗廟,至德宗卽位，建中元年八月，追尊爲皇太后。……追册曰睿眞皇后。,0.9,Event
E000059,桓彥範諫皇后干政,諫言,神龍元年十二月,,桓彥範|中宗|中宗,侍中桓彥範上表諫中宗勿令韋皇后干預朝政，引經據典論婦人預政之弊,諫言未被採納,初，神龍元年十二月，侍中桓彥範上表曰︰「昔孔子論《詩》……伏願鑒古人之言……」,0.9,Event
E000060,潘好禮諫立武惠妃為后,諫言,開元十四年四月,,潘好禮|中宗|武惠妃|張說,侍御史潘好禮進疏諫玄宗勿立武惠妃為后，引禮經、史例論武氏家族亂政之患,諫疏存疑（蘇冕駁曰非潘所作）,開元十四年四月，侍御史潘好禮聞上欲以惠妃爲皇后，進疏諫曰……蘇冕駁曰︰此表非潘好禮所作。,0.9,Event
E000061,何皇后遇害,遇害,天祐二年十二月,積善宮,中宗|中宗,昭宗皇后何氏（時為皇太后）居積善宮，被梁王密遣人所害,何氏身亡,天祐二年十二月，爲梁王密遣人所害。,0.9,Event
E000062,修皇后谱牒奏请与敕准,行政奏议,開元四年正月,,李衢|中宗,大理少卿李衢奏请修皇后谱牒并降明敕，皇帝敕准并令户部供纸笔。,敕令执行：户部供纸笔,開元四年正月，大理少卿李衢奏︰「奉進止，令修皇后譜牒事，伏請降明勅。」奉勅︰「宜依，仍令戶部量事供其紙筆。」,0.95,Event
E000063,貞元二年皇后丧禁乐诏议,丧礼诏令,貞元二年十二月,,有司|中宗|大行皇后(貞元),有司因皇后在殡请禁公私声乐，皇帝下诏：庶民已除服，太常权停教习，京城及诸府任举乐音。,诏令颁布：部分区域允许举乐,貞元二年十二月，有司以皇后在殯，請禁公私聲樂，詔曰︰「大行皇后喪，庶民之間，並已除服。緣情制禮，須使合宜。其太常權停敎習，京城及諸府任舉樂音。」,0.95,Event
E000064,貞元三年挽歌与设祭诏令,丧礼诏令,貞元三年正月,,中宗|中書門下兩省及常參官|內外諸親|大行皇后(貞元),皇帝诏令百官撰挽歌词；诏内外诸亲设祭于大行皇后，不假饰花果，公私集会准此。,挽歌词撰作|设祭规范确立,三年正月，詔中書門下兩省及常參官，各宜撰大行皇后挽歌詞三首。其月，詔內外諸親設祭於大行皇后，並不假飾花果。已後公私集會，並宜準此。,0.9,Event
E000065,貞元三年郑氏等请祭与持续祭奠,丧祭活动,貞元三年正月,,中宗|李晟|渾瑊|宗室諸親|神策六軍大將|大行皇后(貞元),皇后母郑氏等请设祭获准，宗室诸亲及李晟、浑瑊等相继请祭；自启攒宫后日有数祭，至迁座止。,祭奠活动持续至迁座,初，皇后母郕國夫人鄭氏等請設祭，可之。自是宗室諸親及李晟、渾瑊、神策六軍大將，皆請設祭。自啓攢宮後，日有數祭，至於將遷座乃止。,0.9,Event
E000066,順宗皇后王氏崩逝与谥定,崩逝与谥议,元和十一年三月,咸寧殿,中宗|韋纁|禮院|中宗,顺宗皇后王氏崩于咸宁殿，谥庄宪；太常少卿韦纁进谥议，礼院引经奏议谥礼程序，皇帝采纳。,谥号‘庄宪’确立|谥礼程序定于太庙读谥状、两仪殿上谥,元和十一年三月，順宗皇后王氏崩於南內之咸寧殿，諡曰莊憲。|初，太常少卿韋纁進諡議，公卿署定，欲告天地宗廟，禮院奏議曰：「謹按《曾子問》……今請準禮，集百官連署諡狀訖，讀於太廟，然後上諡于兩儀殿……」從之。,0.95,Event
E000067,遣使告皇太后哀于南诏,外交告哀,元和十一年四月,南詔,李儀簡|使臣|中宗,西川节度使李仪简遣使赴南诏告皇太后（王氏）哀，依方镇告太后丧故事。,告哀使遣行,其年四月，西川節度使李儀簡遣使往南詔告皇太后哀。凡天子之喪，嗣天子以卿大夫告於四夷；太后皇后之喪，則方鎭告之，故事也。,0.9,Event
E000068,裴度议冢宰事,礼制议政,元和十一年,,裴度|中宗,因太后崩不听政，议设冢宰总百官；裴度献议称后代无此官，建议公事由中书门下处分，皇帝采纳。,不设冢宰，政务归中书门下,{{*|時以太后崩，不聽政，欲準故事，冢宰以總百官。宰相禮儀使裴度獻議曰：「冢宰是殷、周六官之首……其諸司公事，望請中書門下處分。」從之。}},0.9,Event
E000069,礼仪使奏议皇后称号‘太’字用法,礼制议定,元和十一年七月,,禮儀使|中宗,礼仪使奏议皇后、太后称号加‘太’字之礼制，引开元六年旧例，建议文牒保留‘太’字，入陵入庙时去之，皇帝准奏。,称号用字规范确立,其年七月，禮儀使奏：「自秦、漢以來……今百司文牒及奏狀，參詳典故，恐不合除『太』字。如諡冊入陵，神主入廟，卽當去之。」奏可。,0.9,Event
E000070,胡氏请用庄宪皇太后荫补千牛,荫补请奏,元和十五年五月,,胡氏|中書門下|中宗|沈翬|浩,王用妻胡氏请用姑庄宪皇太后荫补千牛，引沈翬、浩旧例，中书门下初称无条，皇帝准奏并入格令。,准荫补千牛|案例入格令,十五年五月，莊憲皇太后弟故左金吾衞大將軍王用妻胡氏進狀云︰「請用姑莊憲皇太后蔭，補千牛。申中書門下，稱准格無條。伏見貞元中，沈翬用姑睿眞皇太后蔭；元和中，妾弟二男浩，亦用皇太后蔭。伏乞天恩，允妾所奏。」可之，仍入格令。,0.9,Event
E000071,册昭宗皇后何氏为皇太后,册封典礼,天祐元年九月,,中宗|中宗|中書門下,册昭宗皇后何氏为皇太后；中书门下奏请太后宫名‘积善’，皇帝准奏。,何氏册为皇太后|太后宫定名积善宫,天祐元年九月，冊昭宗皇后何氏爲皇太后。中書門下奏請太后宮請以積善爲名，從之。,0.95,Event
E000072,龙朔二年后宫官制改革,制度改革,龙朔二年,,,改易后宫官名，置赞德、宣仪等新职以代旧制夫人、九嫔等,新官职体系确立,龙朔二年，改易官名，置贊德二人，正一品，以代夫人；宣儀四人，正二品，以代九嬪；承閨五人，正四品，以代美人；承旨五人，正五品，以代才人；衞僊六人，正六品，以代寶林；供奉八人，正七品，以代御女；侍櫛二十人，正八品，以代采女。又置侍巾三十人，正九品。,0.9,Event
E000073,咸亨二年恢复旧制,制度改革,咸亨二年,,,废止龙朔新制，恢复皇后以下旧有后宫官职体系,旧制官职体系恢复,咸亨二年，復舊。,0.9,Event
E000074,高祖太宗放宫女,政治举措,高祖、太宗时期,,高祖|中宗,废除隋朝乱政，未稳固政权即大规模放出宫女，宫职仅备员,宫女被放出|宫阃之职备员,高祖、太宗黜隋之亂政，未下車而大放宮女。正位配尊，惟其舊德；宮閫之職，備員而已，所謂刑于內以正乎外。,0.9,Event
E000075,高宗时期政出宫中,政治事件,永徽之後,,中宗,永徽年后朝政由宫中主导，公卿大夫畏惧服从,公卿大夫惮服|取威日增,及高宗永徽之後，政出宮中，公卿大夫罔不憚服，其取威也多。,0.9,Event
E000076,冢嗣再废与宗社变更,宫廷变故,,,,先帝山陵未竣，太子再度被废，导致王室削弱、宗庙社稷更易,阙翦王室|改立宗社,山陵未畢，而冢嗣再廢。遂闕翦王室，改立宗社，非一朝一夕之故，其所由來漸矣。,0.9,Event
E000077,中宗追封韦氏与宠信三思,宫廷事件,中宗时期,,中宗|中宗|中宗,中宗追封韦氏，极度宠信三思，借先朝旧事诱导，致祥瑞宣传、民谣流布,庆云之瑞宣于朝廷|桑女之歌布于天下|防闲之道大坏|乱逆之谋预召,及中宗追王韋氏，崇寵三思，使以先朝故事尊誘之。於是慶雲之瑞，宣於朝廷；桑女之歌，布於天下。防閑之道大壞，亂逆之謀預召矣。,0.9,Event
E000078,玄宗惩革内职,制度改革,玄宗即位,,中宗,玄宗即位后大力整肃内廷，明确内外界限,内外有别|家道正,玄宗卽位，大加懲革，內外有別，家道正矣。,0.9,Event
E000079,郭氏侍疾见黄龙,异象事件,懿宗在藩邸时,卧内,郭氏|中宗,懿宗藩邸重病期间，淑妃郭氏侍奉医药，见黄龙出入卧内；病愈后郭氏告知，懿宗嘱勿外传并承诺不忘,帝承诺贵不忘,帝在藩邸，常經重疾，妃侍醫藥，見黃龍出入臥內。旣間，妃以異告，帝曰：「愼勿言之，貴必不相忘。」,0.9,Event
E000080,崔氏王氏记载缺失,文献记录,,,崔氏|中宗,关于婕妤崔氏、王氏的原始记载存在缺漏,,{{*|此條原本有闕。}},0.9,Event
E000081,尚書八座議後宮選妃制,奏議,貞觀十三年二月二十五日,,尚書八座,尚書八座上奏，指出後宮選拔有違舊制，建議今後後宮及東宮職員缺額時，選拔有才行者，內無則外求良家，以禮聘納。,奏議內容載入史冊,貞觀十三年二月二十五日，尚書八座議曰：「謹按王者正位...采擇良家，以禮聘納。」,0.9,Event
E000082,武氏擬號宸妃議,封號爭議,永徽六年十月,,中宗|韓瑗|來濟|中宗,皇帝擬特號武氏為宸妃，韓瑗、來濟以「帝王嬪妃自有恆數，別立妃號不可」為由奏諫。,封號議止,永徽六年十月，武后未立，上特號爲宸妃。侍中韓瑗、中書令來濟奏言︰「帝王嬪妃，自有恆數，今若別立妃號，臣等竊以爲不可。」乃止。,0.9,Event
E000083,崔縱柳冕奏請諸王公主母封號,奏議與詔准,貞元六年七月,,崔縱|柳冕|中宗,崔縱奏請依典故封諸王母為太妃；柳冕奏請公主母封號降王母一等，稱「太儀」，以公主本封冠其上。,旨依（皇帝批准）,貞元六年七月九日，太常卿崔縱奏：「謹按《司封令》及《六典》...請遵典故。」其月，吏部郎中柳冕署狀...旨依。,0.9,Event
E000084,德宗妃韋氏卒,喪葬,元和四年,崇陵園寢,中宗|中宗,德宗妃韋氏卒，廢朝三日。韋氏少入宮，性敏順，冊妃後六宮服其德，於崇陵園寢守喪三年後卒。,廢朝三日,元和四年，德宗皇帝妃韋氏卒，廢朝三日。...崇陵復土畢，於園寢終三年之制，至是卒。,0.9,Event
E000085,宋氏姊妹入宮與授學,人才薦舉與教育,貞元年間,闕下（宮中）,李抱眞|中宗|宋氏姊妹|中宗|中宗|諸王公主,李抱眞貢宋氏姊妹五人至闕下，德宗親試經史文義，深加賞歎。後皇太子、諸王公主多從其受學。,宋氏姊妹入宮授學，尚宮宋氏被憲宗穆宗尊稱「先生」,貞元中，澤潞節度使李抱眞貢至闕下，德宗召入宮試，兼問經史文義，深加賞歎。自後皇太子及諸王公主等，多從受學。,0.9,Event
E000086,尚宮宋氏贈梁國夫人,追贈,寶曆元年,,中宗|中宗,尚宮宋氏卒後，寶曆元年追贈梁國夫人。,贈梁國夫人,寶曆元年，贈梁國夫人。,0.9,Event
E000087,郭環家族因妹有寵獲褒贈,恩蔭褒贈,寶曆元年七月,,郭環|中宗|郭崇|唐氏|李氏|義|中宗,因郭環妹為才人且有寵，敕贈其曾祖、曾祖母、祖母、父官爵封號。,郭崇贈工部尚書，唐氏贈晉昌郡夫人，李氏贈隴西郡夫人，義贈禮部尚書,其年七月，勅殿中上奉御郭環曾祖故陳州刺史崇...以環妹才人有寵故也。未爲妃后，一旦褒贈，榮及祖禰，前例無之。,0.9,Event
E000088,乳母封號議與改封,禮制爭議與調整,天祐二年九月六日,,楊氏|中宗|第二乳母|中書|中宗,內宣擬賜乳母楊氏昭儀號、王氏郡夫人等，中書奏引漢唐舊例諫「乳母無封夫人、賜內職之例」，建議改封君號。,改封楊氏為安聖君，王氏為福聖君，第二王氏為康聖君,天祐二年九月六日，內出宣旨：「乳母楊氏可賜號昭儀...」中書奏議言：「乳母古無封夫人...楊氏望賜號安聖君，王氏福聖君，第二王氏康聖君。」從之。,0.9,Event
E000089,敕定宮人延英朝儀,禮制敕令,天祐二年十二月,延英殿,中宗,敕令宮嬪女職不得擅出內廷，延英坐朝日僅由小黃門引從。,規範宮人出入禮儀,其年十二月勅︰「宮嬪女職，本備內任...宮人不得擅出內。」,0.9,Event
